,acc,loss,val_acc,val_loss
0,0.7042,0.5421574909482684,0.7946666666984558,0.42891664328575135
1,0.8473714285578047,0.3494238669940404,0.8273333333333334,0.3756632834116618
2,0.8989142857006618,0.2505507596901485,0.8517333333651225,0.3517055925687154
3,0.9367142857279096,0.1682027348416192,0.8521333333651224,0.37991372725168865
4,0.9627428571428571,0.10583320563946451,0.8452000000317892,0.4490572466214498
5,0.9781142857006618,0.06528187375238964,0.8329333333015442,0.547876823981603
6,0.9841428571428571,0.048134860716866595,0.8388,0.6099271314064661
7,0.9862285714285715,0.040097612933867745,0.8410666666666666,0.6534238369464874
8,0.9848857142857143,0.042729304527757424,0.8393333333015441,0.6784521552244822
9,0.9894571428707668,0.029590438611140208,0.8412,0.7574556972344716
10,0.9884857142857143,0.03171821867212254,0.8406666666348775,0.7089453227678935
11,0.9909142857142857,0.025491619720496236,0.8362666666348775,0.837135238647461
12,0.9891428571428571,0.027944687290529586,0.8341333333651225,0.8673117060899734
13,0.9917142857142857,0.023115410493300962,0.8221333333333334,1.0438495692888896
14,0.9892,0.02896452046801735,0.8357333333015442,0.8192347146391868
