,acc,loss,val_acc,val_loss
0,0.7838857142720904,0.6045520828247071,0.8595999999682109,0.46554611523946127
1,0.9141999999727521,0.3356579058102199,0.8921333333015442,0.3145010334650675
2,0.958285714326586,0.18920326297964368,0.9037333333333334,0.26153946541150414
3,0.9768285714285714,0.11643917315006257,0.9094666666348775,0.23510651830037435
4,0.9884,0.07436247283135142,0.9126666666348775,0.22151565475463866
5,0.9934,0.048795373658197264,0.9149333333015441,0.2134658754348755
6,0.9967142857142857,0.032482186667408264,0.9149333333015441,0.2102301817258199
7,0.9982857142857143,0.021997119514005525,0.9170666666348776,0.20790150594711304
8,0.9988285714421954,0.015146541816421917,0.9171999999682109,0.20801361570358276
9,0.9993142857142857,0.010596294477794851,0.9169333333015441,0.2094037901878357
10,0.9995714285714286,0.0074662383365843975,0.9179999999682109,0.21185665165583292
11,0.9997142857142857,0.005337875741294452,0.9175999999682108,0.21527117182413738
12,0.9998285714285714,0.003864916023824896,0.9178666666348775,0.21760394910176595
13,0.9998857142857143,0.0028073174893856047,0.9165333333015442,0.22376725390752156
14,0.9999428571428571,0.002061935530097357,0.9175999999682108,0.22658262097040813
